Year,Month,Temperature
1993,1,5.1
1993,2,11.7
1993,3,11
1993,4,13.9
1993,5,19.9
1993,6,23.5
1993,7,23.4
1993,8,24.5
1993,9,22.3
1993,10,16.2
1993,11,10.7
1993,12,8.5
1994,1,7
1994,2,10.9
1994,3,10.5
1994,4,17.4
1994,5,21.2
1994,6,23.3
1994,7,22.4
1994,8,23.2
1994,9,22.7
1994,10,15.5
1994,11,19
1994,12,12.7
1995,1,8.9
1995,2,8.7
1995,3,11.7
1995,4,14.1
1995,5,20.2
1995,6,24.2
1995,7,23.1
1995,8,22.5
1995,9,22.1
1995,10,20.6
1995,11,13.3
1995,12,11
1996,1,10.9
1996,2,5.1
1996,3,10.1
1996,4,10.2
1996,5,19.6
1996,6,23.9
1996,7,24
1996,8,22.2
1996,9,22.9
1996,10,19.5
1996,11,15.2
1996,12,12.5
1997,1,9.3
1997,2,10.4
1997,3,13.1
1997,4,18
1997,5,20.4
1997,6,21.7
1997,7,22.3
1997,8,23.5
1997,9,18.6
1997,10,18.3
1997,11,14.2
1997,12,11.3
1998,1,8.5
1998,2,8
1998,3,11.6
1998,4,18.2
1998,5,20.3
1998,6,20.5
1998,7,23.1
1998,8,23.9
1998,9,23.4
1998,10,21.1
1998,11,17.9
1998,12,12.9
1999,1,8.8
1999,2,10.9
1999,3,11.6
1999,4,17.3
1999,5,15.7
1999,6,24.5
1999,7,23.7
1999,8,22.8
1999,9,22.3
1999,10,19.2
1999,11,12.4
1999,12,4.8
2000,1,6.2
2000,2,7.5
2000,3,10.4
2000,4,18.4
2000,5,19.9
2000,6,21.3
2000,7,24.1
2000,8,23.6
2000,9,23.1
2000,10,18
2000,11,13.2
2000,12,10.6
2001,1,9.2
2001,2,9.3
2001,3,13.5
2001,4,14.2
2001,5,21.9
2001,6,23.3
2001,7,23.8
2001,8,23.6
2001,9,24
2001,10,20.6
2001,11,12
2001,12,7.3
2002,1,8.1
2002,2,9
2002,3,13.8
2002,4,16.7
2002,5,21.4
2002,6,23.6
2002,7,23.8
2002,8,23.1
2002,9,22.8
2002,10,18.4
2002,11,14.9
2002,12,5.7
2003,1,7.6
2003,2,11.5
2003,3,10.5
2003,4,17.1
2003,5,20.5
2003,6,23.4
2003,7,25
2003,8,23.9
2003,9,22.7
2003,10,19
2003,11,11.9
2003,12,10.1
2004,1,6.7
2004,2,6.2
2004,3,12
2004,4,15.6
2004,5,18.4
2004,6,23.9
2004,7,22
2004,8,24.1
2004,9,23.2
2004,10,19.7
2004,11,16.4
2004,12,6.5
2005,1,4.1
2005,2,7.5
2005,3,7.9
2005,4,13.4
2005,5,21.2
2005,6,22.4
2005,7,23.5
2005,8,23
2005,9,22.3
2005,10,19.1
2005,11,14.1
2005,12,9.5
2006,1,6.9
2006,2,9.2
2006,3,8
2006,4,14.2
2006,5,19.5
2006,6,21.5
2006,7,23.3
2006,8,24.1
2006,9,20.2
2006,10,22.4
2006,11,18.2
2006,12,11.5
2007,1,10
2007,2,12.2
2007,3,9.8
2007,4,11.6
2007,5,21
2007,6,22.9
2007,7,24.3
2007,8,24.4
2007,9,22.9
2007,10,20.8
2007,11,12.9
2007,12,10.9
2008,1,8.2
2008,2,7.5
2008,3,11.9
2008,4,16.3
2008,5,19.7
2008,6,22.6
2008,7,22.9
2008,8,22.7
2008,9,24.3
2008,10,21.8
2008,11,11.6
2008,12,10.3
2009,1,8.7
2009,2,15.4
2009,3,12.2
2009,4,16.2
2009,5,20.3
2009,6,23.9
2009,7,23.2
2009,8,24.5
2009,9,24
2009,10,22.4
2009,11,8.8
2009,12,8.5
2010,1,9.2
2010,2,7
2010,3,7.3
2010,4,12.9
2010,5,20.1
2010,6,20.2
2010,7,23.4
2010,8,23
2010,9,22.6
2010,10,14.9
2010,11,16.3
2010,12,5
2011,1,6.2
2011,2,7.5
2011,3,11.8
2011,4,16.2
2011,5,18.9
2011,6,23.9
2011,7,24.6
2011,8,24.7
2011,9,22.6
2011,10,20.7
2011,11,17.1
2011,12,8.9
2012,1,6.9
2012,2,9.1
2012,3,10.8
2012,4,17.7
2012,5,23.7
2012,6,24.3
2012,7,23.8
2012,8,24.5
2012,9,23.2
2012,10,17.4
2012,11,13.6
2012,12,6.1
2013,1,9.9
2013,2,10.9
2013,3,12.5
2013,4,14.4
2013,5,15.8
2013,6,22.3
2013,7,24.1
2013,8,23.9
2013,9,23.1
2013,10,18.8
2013,11,12.2
2013,12,8.4
2014,1,9.6
2014,2,6.4
2014,3,13.3
2014,4,17.1
2014,5,17.9
2014,6,24.5
2014,7,25.1
2014,8,22.3
2014,9,24.9
2014,10,21.8
2014,11,17.4
2014,12,9.8
2015,1,9.6
2015,2,9.8
2015,3,13.9
2015,4,15.2
2015,5,21.7
2015,6,25.1
2015,7,23.9
2015,8,24.4
2015,9,23.7
2015,10,18
2015,11,14.3
2015,12,10.5
2016,1,2.6
2016,2,8.7
2016,3,9.2
2016,4,19.1
2016,5,19.5
2016,6,23.6
2016,7,23.3
2016,8,22.9
2016,9,22.4
2016,10,21.1
2016,11,12
2016,12,10.4
2017,1,12.8
2017,2,9.7
2017,3,13
2017,4,15
2017,5,21.7
2017,6,24
2017,7,24
2017,8,23.7
2017,9,24.9
2017,10,18.5
2017,11,14.7
2017,12,8.9
2018,1,7
2018,2,6
2018,3,10.2
2018,4,14.9
2018,5,21.3
2018,6,24
2018,7,24.6
2018,8,24.1
2018,9,23
2018,10,20.3
2018,11,16.5
2018,12,9.2
2019,1,10.5
2019,2,13.5
2019,3,14.6
2019,4,18.4
2019,5,18.5
2019,6,24.3
2019,7,24.1
2019,8,22.6
2019,9,24.6
2019,10,19.5
2019,11,16
2019,12,12.2
2020,1,9.9
2020,2,9.6
2020,3,15.7
2020,4,15.6
2020,5,22.6
2020,6,23.1
2020,7,25
2020,8,24.2
2020,9,24.1
2020,10,21
2020,11,15.9
2020,12,7
